date,id,event,details
2026-09-07,helia-capital-ea-family-office,first_observed,Active when observed
2026-09-07,pheedloop-customer-service-logistics,first_observed,Active when observed
2026-09-07,ramachandran-ea-managing-director,first_observed,Active when observed
2026-09-07,no-small-feast-event-coordinator,first_observed,Active when observed
2026-09-07,kotn-marketing-coordinator,first_observed,Active when observed
2026-09-07,northcott-licensing-marketing-coordinator,first_observed,Active when observed
2026-09-07,cineplex-account-coordinator-media-sales,first_observed,Active when observed
2026-09-07,trevant-creator-operations-coordinator,first_observed,Active when observed
2026-09-07,cmic-project-coordinator,first_observed,Active when observed
2026-09-07,gensler-project-coordinator,first_observed,Active when observed
2026-09-07,impact-cleaning-quality-service,first_observed,Active when observed on LinkedIn
2026-09-07,students-commission-finance-operations,first_observed,Active when observed; application deadline 2026-09-08
2026-09-07,bta-account-coordinator,first_observed,Active when observed on LinkedIn
2026-09-07,gambles-hr-coordinator,first_observed,Active when observed on Indeed
2026-09-07,match-sports-production-apparel,first_observed,Active when observed; three-month minimum-wage probation stated
2026-09-07,nascent-office-coordinator,first_observed,Active when observed on LinkedIn
